Homunculus_Area,Linear_Muscle_Coord
15,0.220577861934058
15,0.67254306597762
15,2.30701762750449
15,0.58787474268235
22,1.06130423012116
22,0.301339989585391
22,1.42167384962846
22,1.48334460456346
20,1.67948674169856
20,1.59252200203081
20,1.59252200203081
15,1.23490724033624
16,1.5239028175727
17,2.10189397204562
17,1.81289839480916
19,2.310608152492
18,2.87618366608998
18,3.41095051840039
18,2.84533905846561
18,2.86522262327567
19,2.87522476079691
19,2.31485216432533
19,2.31301660601097
20,2.32894542940735
20,2.39616075859032
20,2.39616075859032
17,3.01766662779144
17,4.38864756530962
17,4.38864756530962
17,4.38864756530962
17,4.38864756530962
17,3.07546583867903
17,3.74741872892242
4,-0.608921319415557
4,-1.13114986882085
4,-1.98734581624478
4,-1.98734581624478
4,-1.13468396445319
4,-1.92579207626619
4,-1.92579207626619
4,-1.98345978378508
4,-1.92579207626619
4,-2.53676079631069
4,-2.54323638589965
3,-2.1338330115772
4,-1.46496380824882
4,-1.46496380824882
4,-1.39626374417785
4,-1.56728426765346
4,-1.98997103060048
4,-2.12399447160298
3,-2.07976628910153
3,-2.10889858259279
3,-2.10889858259279
3,-2.10889858259279
3,-1.99344450947003
4,-1.17772562786762
4,-1.98734581624478
4,-1.46496380824882
3,-2.21246553935106
2,-2.67392598071988
3,-2.21246553935106
3,-2.11254710492895
1,-2.55395545782183
2,-2.7276015881445
1,-3.11902554599697
2,-3.18029450676172
2,-3.22336225741333
2,-2.54485283010784
1,-3.18899539195449
1,-2.44742733888682
2,-3.22336225741334
1,-3.20866612477884
1,-3.18907659186455
1,-3.27472538378065
1,-4.18777226540814
1,-3.28831110745746
1,-4.2201415150499
1,-4.22616747261795
1,-4.25420001698067
1,-4.30808653298995
1,-3.61224776155459
1,-4.38492863824182
1,-4.2356901713589
1,-3.63323281314285
1,-3.63015709522208
1,-4.2356901713589
1,-3.69010487450828
1,-4.71097854613585
1,-4.78683397274532
1,-3.741029399774
1,-3.24477436136729
1,-3.22521919426073
15,0.773980568255719
15,0.950589181923484
15,0.950589181923484
15,1.11162670710608
15,0.782424034763064
15,0.782424034763064
15,1.11162670710608
