Average_Shortest_Path,Impact_Score
1.48933982472381,5231.0835
1.72781594736661,4640.718
1.41073291057768,5287.594
1.70285861258084,4909.414
1.79675554172286,5187.0103
3.0492408877131,2245.6438
1.78934813431546,5445.388
1.68034014853459,9241.43
2.22820689386866,4314.773
2.50395125964571,4492.4775
2.16590755437977,4224.005
2.12701866549088,4501.2993
2.4653401485346,4199.7695
2.4653401485346,4134.6196
1.78194508680619,2547.1953
2.75972286458398,1926.3248
4.73750064236173,1810.1028
3.74490804976916,1814.5688
3.03257422104643,2256.5615
4.00479644326866,2045.7692
4.99738903586127,2212.6736
4.01775940623162,1985.4974
4.00850014697236,1940.9735
3.51775940623162,1978.2125
3.02701866549088,2280.0679
3.03812977660199,2231.0635
3.02887051734273,2163.3271
3.02146310993532,2297.3328
3.02146310993532,2310.9722
3.98998162845384,2036.0669
5.90850014697238,1814.2507
5.90850014697238,1790.8644
5.90850014697238,1800.6091
5.90850014697238,1796.7466
3.97146310993532,1884.6956
4.9344260728983,1828.7617
2.19270048760245,4119.565
1.9721455704789,9748.179
2.10807590557591,7886.2725
2.10807590557591,7588.9224
1.98696038529372,9104.67
2.05702652285986,7622.513
2.05702652285986,7476.021
2.11548331298332,7392.0796
2.05702652285986,7587.612
2.44535985619319,6752.3325
2.47048331298332,7066.5933
1.98295244878578,8848.902
2.08838454755122,6635.017
2.08838454755122,7037.0312
2.02819936236603,7136.073
2.21292016806723,6423.618
2.12103886853887,8254.922
2.59674732856106,6778.759
2.47048331298332,6767.625
2.04900183150183,8565.747
2.04900183150183,7963.434
2.04900183150183,8021.736
2.12289072039072,7469.333
1.34156796906797,8990.165
2.10807590557591,7865.009
2.08838454755122,6876.5527
2.05159442409443,7500.67
2.39684133767468,9062.222
2.05159442409443,7933.2773
2.05208825125492,7898.8843
2.54505121421788,7121.3716
2.37461911545246,7965.129
2.70258207841541,8137.23
2.56813763397097,6263.346
2.88807590557591,6431.795
2.55628578211912,7761.453
2.70134751051417,7380.9023
2.38714997964999,7265.056
2.88807590557591,6457.1562
2.87511294261295,6227.8506
2.61634751051419,6358.212
2.86554504137838,6018.446
3.84239689323023,4024.2585
2.90159442409443,6439.233
3.82110059693393,4296.062
3.77665615248949,3793.9067
3.77665615248949,3887.3108
3.78653269569937,4632.6704
2.86647096730431,5034.49
