homunc_area,muscle_coord
1,-2.501198266244
2,-2.70360408329688
1,-3.13166928138572
2,-3.15364586994024
2,-3.16621250835678
2,-2.52780221686066
1,-3.1571774188231
1,-2.56436301746385
2,-3.16621250835678
1,-3.18712371843211
1,-3.17241274501209
1,-3.21141400439294
1,-4.15515350019712
1,-3.19928450043035
1,-4.23441625018241
1,-4.22351109396293
1,-4.22367218040975
1,-4.27147281022446
1,-3.58081704333104
1,-3.70348402546477
1,-4.27150866804831
1,-3.62680648911588
1,-3.66654458899006
1,-4.27150866804831
1,-3.63057151393965
1,-3.63358679356151
1,-3.68010379768835
1,-3.70817211252415
1,-3.18712371843211
1,-3.17708387892555
15,0.772262758686268
15,0.934062039934526
15,0.934062039934526
15,0.932619794107441
15,0.779229646529453
15,0.779229646529453
15,0.932619794107441
15,0.932619794107441
15,0.932619794107441
5,0.17639672771223
5,0.16089090692853
5,0.157755733075371
5,-0.112323078541195
5,-0.115306166030348
5,-0.117665060721546
5,-0.160227522434299
5,0.105054319423313
5,0.133857678765617
5,0.134530357002763
5,0.132775412636013
5,0.17639672771223
5,0.16089090692853
5,0.157755733075371
5,-0.112323078541195
5,-0.115306166030348
5,-0.117665060721546
5,-0.160227522434299
5,0.105054319423313
5,0.133857678765617
5,0.134530357002763
5,0.132775412636013
5,0.17639672771223
5,0.16089090692853
5,0.157755733075371
5,-0.112323078541195
5,-0.115306166030348
5,-0.117665060721546
5,-0.160227522434299
5,0.105054319423313
5,0.133857678765617
5,0.134530357002764
5,0.132775412636013
5,-0.112323078541195
5,-0.11442231188161
5,-0.116380944478819
5,-0.160647042428062
5,-0.117665060721546
5,-0.108198836795245
5,-0.117570614140968
5,-0.134187635171637
5,-0.13553603747179
5,-0.318326488398245
5,-1.12106460504707
5,-0.538126807208224
